date,region,district,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,month,year,pct_change,zscore,is_spike,spike_severity
2025-03-15,Central Region,Dowa,Dzaleka,2421,-13.66,33.87,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1700.0,0.99,3,2025,476.2711864406779,3.140153805303275,True,Critical
2025-04-15,Central Region,Dowa,Mponela,795,-13.52,33.72,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,920.0,0.54,4,2025,206.66666666666669,3.096893719827395,True,Critical
2023-10-15,Central Region,Dowa,Mponela,795,-13.52,33.72,pulses and nuts,Pigeon peas,155,KG,aggregate,Retail,MWK,1216.67,1.06,10,2023,62.22266666666667,2.607955232266702,True,Critical
2025-07-15,Central Region,Dowa,Mponela,795,-13.52,33.72,cereals and tubers,Rice,52,KG,aggregate,Retail,MWK,17000.0,9.81,7,2025,325.0,2.8302706139226723,True,Critical
2025-03-15,Central Region,Dowa,Nambuma,831,-13.7,33.6,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,900.0,0.52,3,2025,205.08474576271186,3.0602755887288358,True,Critical
2022-08-15,Central Region,Dowa,Nsungwi,2115,-13.53,33.46,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,330.0,0.32,8,2022,67.93893129770991,2.94610338947588,True,Critical
2025-03-15,Central Region,Dowa,Nsungwi,2115,-13.53,33.46,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1800.0,1.04,3,2025,520.6896551724138,3.1460113308407,True,Critical
2022-09-15,Northern Region,Karonga,Karonga Boma,779,-9.93,33.93,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,346.5,0.34,9,2022,82.36842105263158,2.984500953099739,True,Critical
2025-09-15,Northern Region,Karonga,Karonga Boma,779,-9.93,33.93,cereals and tubers,Maize,51,KG,aggregate,Retail,MWK,1150.87,0.66,9,2025,232.14141414141412,3.101053411067215,True,Critical
2023-02-15,Northern Region,Karonga,Karonga Boma,779,-9.93,33.93,cereals and tubers,Maize (new harvest),1229,KG,aggregate,Retail,MWK,1136.46,1.12,2,2023,133.12,2.51832473054536,True,Critical
2025-04-15,Northern Region,Karonga,Karonga Boma,779,-9.93,33.93,cereals and tubers,Rice,52,KG,aggregate,Retail,MWK,2500.0,1.46,4,2025,284.61538461538464,2.6523735274587534,True,Critical
