date,region,district,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice,month,year,price_pct_change
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,287.5,0.17,6,2025,19.791666666666675
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,200.0,0.12,7,2025,-30.434782608695656
2025-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Pumpkin leaves,1223,Bunch,aggregate,Retail,MWK,200.0,0.12,8,2025,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Rape leaves,1230,Bunch,aggregate,Retail,MWK,50.0,0.067,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Rape leaves,1230,Bunch,aggregate,Retail,MWK,53.06,0.071,12,2020,6.120000000000014
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Rape leaves,1230,Bunch,aggregate,Retail,MWK,63.0,0.083,1,2021,18.73350923482848
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Rape leaves,1230,Bunch,aggregate,Retail,MWK,63.0,0.083,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Rape leaves,1230,Bunch,aggregate,Retail,MWK,63.0,0.081,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Rape leaves,1230,Bunch,aggregate,Retail,MWK,63.0,0.081,4,2021,0.0
2020-11-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,60.0,0.08,11,2020,
2020-12-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,60.0,0.08,12,2020,0.0
2021-01-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,60.0,0.079,1,2021,0.0
2021-02-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,60.0,0.079,2,2021,0.0
2021-03-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,60.0,0.077,3,2021,0.0
2021-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,60.0,0.077,4,2021,0.0
2025-04-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,200.0,0.12,4,2025,233.33333333333334
2025-05-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,182.35,0.11,5,2025,-8.825000000000005
2025-06-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,383.33,0.22,6,2025,110.21661639703866
2025-07-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,350.0,0.2,7,2025,-8.694858216158396
2025-08-15,Southern Region,Balaka,Balaka Boma,763,-14.99,34.96,vegetables and fruits,Tomatoes (medium size),1008,Unit,aggregate,Retail,MWK,400.0,0.23,8,2025,14.28571428571428
2025-04-15,Southern Region,Balaka,Mbela,2234,-14.91,35.06,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,230.0,0.13,4,2025,
2025-05-15,Southern Region,Balaka,Mbela,2234,-14.91,35.06,cereals and tubers,Amaranthus,720,Heap,aggregate,Retail,MWK,240.0,0.14,5,2025,4.347826086956519
